name,poi
BELDEN TIMOTHY N,0.22218027036464327
BOWEN JR RAYMOND M,0.20311066584620432
HANNON KEVIN P,0.22885473277530774
DELAINEY DAVID W,0.20310408179782868
CAUSEY RICHARD A,0.20496783366157395
HICKERSON GARY J,0.20310408179782868
FREVERT MARK A,0.23101642183981558
CHAN RONNIE,0.203885981391255
DONAHUE JR JEFFREY M,0.20548557497440695
REYNOLDS LAWRENCE,0.2046894511698217
HORTON STANLEY C,0.20310408179782868
LEWIS RICHARD,0.20310408179782868
SHERRICK JEFFREY B,0.20310408179782868
MEYER JEROME J,0.20340733418405327
DERRICK JR. JAMES V,0.21344178270231903
PIRO JIM,0.20310408179782868
DETMERING TIMOTHY J,0.20930043439331436
KISHKILL JOSEPH G,0.20350781246413055
BAY FRANKLIN R,0.20470249705572058
PRENTICE JAMES,0.20310408179782868
TOTAL,0.5
FALLON JAMES B,0.20310408179782868
METTS MARK,0.20310408179782868
WODRASKA JOHN,0.20310408179782868
MORDAUNT KRISTINA M,0.20310408179782868
CARTER REBECCA C,0.20436999204516976
BHATNAGAR SANJAY,0.20310408179782868
WALTERS GARETH W,0.20310408179782868
BIBI PHILIPPE A,0.20310408179782868
SHERRIFF JOHN R,0.20310408179782868
GIBBS DANA R,0.20310408179782868
LINDHOLM TOD A,0.20310408179782868
MCMAHON JEFFREY,0.20310408179782868
